Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,282.271298,-84.761185,180.0,bottom
C2,100nF,C_0402_1005Metric,275.768435,-87.7575,270.0,bottom
C3,100nF,C_0402_1005Metric,271.4825,-76.2,0.0,bottom
C4,100nF,C_0402_1005Metric,282.271298,-75.7375,180.0,bottom
C5,100nF,C_0402_1005Metric,283.516827,-83.475,180.0,bottom
C6,10uF,C_0603_1608Metric,281.1875,-73.95,180.0,bottom
C7,100nF,C_0402_1005Metric,276.765057,-87.758459,270.0,bottom
C8,1uF,C_0402_1005Metric,279.51,-66.315654,0.0,bottom
C9,1uF,C_0402_1005Metric,279.51,-71.4375,0.0,bottom
D1,D_Small,D_SOD-123F,63.5,-53.18125,90.0,bottom
D2,D_Small,D_SOD-123F,82.55,-53.18125,90.0,bottom
D3,D_Small,D_SOD-123F,101.6,-53.18125,90.0,bottom
D4,D_Small,D_SOD-123F,120.65,-53.18125,90.0,bottom
D5,D_Small,D_SOD-123F,139.7,-53.18125,90.0,bottom
D6,D_Small,D_SOD-123F,158.75,-53.18125,90.0,bottom
D7,D_Small,D_SOD-123F,177.8,-53.18125,90.0,bottom
D8,D_Small,D_SOD-123F,196.85,-53.18125,90.0,bottom
D9,D_Small,D_SOD-123F,215.9,-53.18125,90.0,bottom
D10,D_Small,D_SOD-123F,234.95,-53.18125,90.0,bottom
D11,D_Small,D_SOD-123F,254.0,-53.18125,90.0,bottom
D12,D_Small,D_SOD-123F,273.05,-53.18125,90.0,bottom
D13,D_Small,D_SOD-123F,296.8625,-53.18125,90.0,bottom
D15,D_Small,D_SOD-123F,65.88125,-72.23125,90.0,bottom
D16,D_Small,D_SOD-123F,87.3125,-72.23125,90.0,bottom
D17,D_Small,D_SOD-123F,106.3625,-72.23125,90.0,bottom
D18,D_Small,D_SOD-123F,125.4125,-72.23125,90.0,bottom
D19,D_Small,D_SOD-123F,144.4625,-72.23125,90.0,bottom
D20,D_Small,D_SOD-123F,163.5125,-72.23125,90.0,bottom
D21,D_Small,D_SOD-123F,182.5625,-72.23125,90.0,bottom
D22,D_Small,D_SOD-123F,201.6125,-72.23125,90.0,bottom
D23,D_Small,D_SOD-123F,220.6625,-72.23125,90.0,bottom
D24,D_Small,D_SOD-123F,239.7125,-72.23125,90.0,bottom
D25,D_Small,D_SOD-123F,265.90625,-72.23125,90.0,bottom
D26,D_Small,D_SOD-123F,296.8625,-72.23125,90.0,bottom
D28,D_Small,D_SOD-123F,70.64375,-91.28125,90.0,bottom
D29,D_Small,D_SOD-123F,96.8375,-91.28125,90.0,bottom
D30,D_Small,D_SOD-123F,115.8875,-91.28125,90.0,bottom
D31,D_Small,D_SOD-123F,134.9375,-91.28125,90.0,bottom
D32,D_Small,D_SOD-123F,153.9875,-91.28125,90.0,bottom
D33,D_Small,D_SOD-123F,173.0375,-91.28125,90.0,bottom
D34,D_Small,D_SOD-123F,192.0875,-91.28125,90.0,bottom
D35,D_Small,D_SOD-123F,211.1375,-91.28125,90.0,bottom
D36,D_Small,D_SOD-123F,230.1875,-91.28125,90.0,bottom
D37,D_Small,D_SOD-123F,249.2375,-91.28125,90.0,bottom
D38,D_Small,D_SOD-123F,273.05,-96.04375,90.0,bottom
D39,D_Small,D_SOD-123F,296.8625,-91.28125,90.0,bottom
D41,D_Small,D_SOD-123F,68.2625,-110.33125,90.0,bottom
D42,D_Small,D_SOD-123F,105.56875,-114.90625,90.0,bottom
D43,D_Small,D_SOD-123F,142.08125,-115.09375,90.0,bottom
D44,D_Small,D_SOD-123F,173.0375,-115.09375,90.0,bottom
D45,D_Small,D_SOD-123F,211.1375,-115.09375,90.0,bottom
D46,D_Small,D_SOD-123F,215.10625,-115.09375,90.0,bottom
D47,D_Small,D_SOD-123F,254.0,-115.09375,90.0,bottom
D48,D_Small,D_SOD-123F,273.05,-115.09375,90.0,bottom
D49,D_Small,D_SOD-123F,292.1,-115.09375,90.0,bottom
J2,Pico EZmate,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,249.810197,-61.9125,90.0,bottom
R1,10k,R_0402_1005Metric,280.509995,-62.376265,0.0,bottom
SW6,SKQGABE010,SW_SPST_SKQG_WithStem,284.1625,-58.7375,0.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,277.01875,-80.3,90.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,280.19375,-68.9125,90.0,bottom
